,cell_id,rec_id,roi_id,cell_type,angles_btw_RFcenter_and_DensityCenter,angles_btw_RFcenter_and_SomaPos,dendritic_distance_to_soma,euclidean_distance_to_density_center,offset
144,20161028_1,9,4,0,35.182206157961616,19.9459834621349,144.0981525667325,105.52166647113222,4.2231349617605645
145,20161028_1,9,5,0,45.607436538790814,59.44230626254545,134.43837426423875,106.03200323629602,17.520722544865457
147,20161028_1,9,7,0,67.56946876369554,82.3212034746993,160.92972617665583,108.81572476837324,2.0141481146955065
148,20161028_1,9,8,0,28.036100830271497,13.664888001058843,186.60916787413586,113.32352228488145,15.653020314660758
149,20161028_1,9,9,0,28.406889235644282,13.490912651667958,180.88229565598274,109.56293953821933,15.21031564913128
150,20161028_1,9,10,0,126.77325144988532,112.35374596757237,140.18812604843305,106.81502286527413,6.880434041511552
151,20161028_1,9,11,0,82.14958089582957,66.35818696611116,131.88755689334775,100.69775802979099,4.181124352630104
152,20161028_1,9,12,0,23.99451077473748,10.042855496489288,190.74555604326505,116.42695795491454,22.802841147368884
153,20161028_1,9,13,0,4.561028840547788,10.12263852817533,142.31219010028906,106.74704673701405,12.906630143529444
154,20161028_1,9,14,0,20.923497229077018,35.27643907907118,165.3693591904781,111.46483039823887,11.92012378133051
155,20161028_1,10,1,0,41.06381272619916,31.35483155394713,92.1728039803295,33.47157989591743,15.104305030255318
156,20161028_1,10,2,0,23.304723791378674,15.273715332079039,100.01013398353982,39.95278583773207,13.890883492766564
157,20161028_1,10,3,0,14.233669539529963,13.577347654538436,108.71814385239239,42.25643903861234,19.206597657497582
158,20161028_1,10,4,0,23.851470226454758,5.208685051936537,103.62288516324182,43.39458518454722,13.961907296908064
160,20161028_1,10,6,0,53.66817789901642,52.812490709932746,103.62633561218169,37.4673082213474,19.900178442613402
161,20161028_1,10,7,0,17.803500754031294,1.862409992916903,101.30967223241812,41.92538797372774,9.49324779821843
163,20161028_1,10,9,0,51.35139960617286,42.437417749722414,120.44719847296713,36.24473976949266,14.321824785769767
164,20161028_1,10,10,0,3.8506369268118488,21.615511162728257,106.51029570879359,40.54134304819326,32.64076371071148
166,20161028_1,10,12,0,46.85764689721517,27.610783818383037,103.0997739243363,38.8781776516297,2.388422023978302
168,20161028_1,11,1,0,9.215548299645327,7.27857169069746,159.79339006865013,109.97602694450816,13.96702916389807
169,20161028_1,11,2,0,19.642821974179345,21.22774956236142,135.6080745003232,94.24161593716221,10.335668392697515
171,20161028_1,11,4,0,83.12468427456375,84.54248259670283,129.823473421828,90.09471066470486,4.697099975835495
172,20161028_1,11,5,0,40.93077297640223,43.200075487710436,140.9708355105691,97.71409367327124,4.293607754999167
175,20161028_1,11,8,0,9.318620234896859,11.195605812524407,155.44241623486897,106.73487125846333,14.07532941174462
176,20161028_1,11,9,0,4.734911458234364,2.3769261775226327,143.0085964135266,99.084316331611,10.996199702588969
180,20161028_1,11,13,0,6.8981256685584,4.838616031316292,176.90167731978488,123.92441241431591,20.401597864213052
185,20161028_1,12,1,0,57.142524924507576,114.86216761053068,34.10368561718211,33.356216893066176,9.83865616298479
186,20161028_1,12,2,0,73.71802309890752,139.72062374048812,38.73011147882944,30.52424136233618,14.809243340617563
187,20161028_1,12,3,0,104.15933465466253,128.3055247556043,71.76690025797416,62.840710209679294,10.692742183096833
188,20161028_1,12,4,0,114.18317870596698,137.21466074269966,77.99877819040292,66.69443432272328,7.220373326043157
189,20161028_1,12,5,0,36.78426628355942,72.68325676301424,48.91891599361702,46.62984308007834,12.771647834560012
191,20161028_1,12,7,0,3.141503252862513,71.1229488587913,44.25422855121613,29.24006514304936,12.184987725386113
