,exp_date,recording_id,roi_id,type,dendritic_distance_to_soma,euclidean_distance_to_density_center,sRF_asd_upsampled_cntr_size_60,cntrs_offset_calibrate_to_rois_60,cntr_quality_60,sRF_asd_upsampled_cntr_size_65,cntrs_offset_calibrate_to_rois_65,cntr_quality_65,sRF_asd_upsampled_cntr_size_70,cntrs_offset_calibrate_to_rois_70,cntr_quality_70,cntr_quality
1296,20171203_1,1,3,0,211.6151641734,150.9568169999,14.470196871,33.0786885291,1,11.8313054452,31.4298005016,1,9.5675732665,25.3837985346,1,1
1297,20171203_1,1,4,0,157.3636744198,115.070518972,10.1257131891,13.7071577697,1,8.3754669636,12.5471008512,1,6.8284475435,5.2917343791,1,1
1298,20171203_1,1,5,0,144.530670217,99.9402212871,10.4143184481,10.5368107173,1,8.5146373675,13.2041303111,1,6.8856246659,12.5435380308,1,1
1299,20171203_1,1,6,0,177.4785238285,128.5231333771,11.8577088771,19.4451966173,1,9.6692573361,20.280378177,1,7.7993743442,11.9897320729,1,1
1300,20171203_1,1,7,0,220.4641823335,158.3850249213,12.7183113828,34.3676982035,1,10.4636112457,31.4206217976,1,8.4970980167,25.0597557783,1,1
1301,20171203_1,1,8,0,146.2119378603,105.7466154615,10.2399801557,6.1993318651,1,8.3813053825,10.9081920204,1,6.7881916664,9.186556177,1,1
1302,20171203_1,1,9,0,163.1631786241,119.9662685063,10.3382632556,17.8880318946,1,8.5550001343,17.1720635153,1,6.9848980766,9.4107902146,1,1
1303,20171203_1,1,10,0,174.2676556161,125.9310537687,15.7061580641,26.7699356853,1,12.5294713939,23.956668215,1,9.987374997,15.487781411,1,1
1304,20171203_1,1,11,0,169.0618096628,122.2791706871,12.283467794,17.6050751323,1,9.8590816379,18.244054386,1,7.8992721909,10.1256061881,1,1
1305,20171203_1,1,12,0,153.3414272251,112.0143018498,12.4949539384,11.1735768647,1,10.2144384178,11.0869764465,1,8.2677572956,3.1635375755,1,1
1306,20171203_1,1,13,0,191.8515972473,140.6875126592,16.6835604752,29.7313528998,1,13.2755060132,26.6814339022,1,10.5938857664,17.1924897356,1,1
1307,20171203_1,1,14,0,196.1597620345,142.7326289072,10.9315649893,22.5861876214,1,9.0434279003,22.6924417038,1,7.3726335144,15.1544135351,1,1
1308,20171203_1,1,15,0,201.4083683475,145.0578410964,5.3030714645,0,0,0,0,0,0,0,0,0
1309,20171203_1,1,16,0,148.2625006114,101.4022642089,11.4496621293,25.8404167543,1,9.3140342696,28.5304168923,1,7.4923380776,27.3987207858,1,1
1310,20171203_1,1,17,0,225.0050357065,160.3530589305,15.9284298245,38.7109635275,1,12.940166702,35.0119324309,1,10.4282700598,27.4316850607,1,1
1311,20171203_1,1,18,0,186.1706869398,136.2650130142,18.3113331186,0,0,2.6781240548,180.0854480021,1,3.9934381643,252.9670250127,1,0
1312,20171203_1,1,19,0,179.6143944997,133.2958797542,13.4464178546,11.9377873074,1,11.1597270547,9.117438293,1,9.1631418601,5.6952057191,1,1
1313,20171203_1,2,1,0,6.0321927902,5.6136450084,22.1051361332,0,0,16.0440293717,21.2375189688,1,12.9611369612,17.1158410029,1,0
1314,20171203_1,2,2,0,60.7868067342,42.9457503698,28.2843958138,0,0,21.1562396833,18.504095849,1,15.6334516045,13.6099735272,1,0
1315,20171203_1,2,3,0,63.9976749466,45.9142337155,55.2782970817,0,0,45.0259901161,0,0,33.5347366228,0,0,0
1316,20171203_1,2,4,0,43.6359505617,29.8446492964,47.6290356186,0,0,36.7318703527,0,0,30.453651069,0,0,0
1317,20171203_1,2,5,0,47.3218831284,32.3064912349,0,0,0,18.1863300355,0,0,8.3498505872,0,0,0
1318,20171203_1,2,6,0,55.9705044156,38.4946039781,30.2400870024,0,0,20.3235358937,17.3642011896,1,16.2777421632,16.235682103,1,0
1319,20171203_1,2,7,0,38.3167913837,26.8006924164,62.0949629299,0,0,39.9786590747,0,0,23.9191644531,0,0,0
1320,20171203_1,2,8,0,1.8808830518,4.8219404348,20.7212219126,18.2860336564,1,16.3191700653,19.405712654,1,12.6340661756,13.0265905079,1,1
1321,20171203_1,2,9,0,52.2087383119,35.0470834966,40.7621917674,0,0,29.7981681364,0,0,19.2492167314,0,0,0
1322,20171203_1,2,10,0,9.5736681373,4.6308181318,71.8004004186,0,0,54.1736387666,0,0,38.2667921495,0,0,0
