,cell_id,rec_id,roi_id,cell_type,angles,dendritic_distance_to_soma,euclidean_distance_to_density_center
54,20161028_1,3,17,0,44.937208096224055,89.58837094230893,65.86846250054519
55,20161028_1,4,1,0,66.51471196758175,35.11405169378529,28.27789996722745
56,20161028_1,4,2,0,50.76829635158059,38.22315891417034,11.238913240953856
57,20161028_1,4,3,0,0.38998967067030044,27.001269662708747,23.13801891730513
58,20161028_1,4,4,0,2.787807865165041,38.87585989108065,32.039646130936994
59,20161028_1,4,5,0,39.95453623265393,45.687216167798226,37.80066568969945
60,20161028_1,4,6,0,18.868169073867055,36.83359973029209,25.429445953879387
61,20161028_1,4,7,0,66.7151049398014,35.459531626540965,12.742698669768188
62,20161028_1,4,8,0,36.58875803476026,27.31712649801677,14.584109681372425
63,20161028_1,4,9,0,112.8981908005659,41.823611049324896,11.233311650168266
64,20161028_1,4,10,0,88.80553524150942,33.379009884998986,11.09493979693479
65,20161028_1,4,11,0,134.45721581517168,59.62814158768394,44.433498679019245
66,20161028_1,4,12,0,28.12586100564401,39.84357900670953,10.525078214005438
67,20161028_1,4,13,0,27.98091371762751,53.48178533242403,40.70554103108629
68,20161028_1,4,14,0,50.87308945990361,51.21133324018489,39.381737202540236
69,20161028_1,4,15,0,4.302745728661628,70.87553858568648,11.480995841757425
70,20161028_1,4,16,0,2.35715040548021,55.731462922823226,16.60184863382923
71,20161028_1,4,17,0,25.581019932108276,42.08676403264367,34.87830891367812
72,20161028_1,4,18,0,57.47666823526647,39.654955878263635,26.31993686208083
73,20161028_1,4,19,0,133.17422359470768,38.238126935928044,10.609463037128329
75,20161028_1,4,21,0,55.21365204872372,19.899280531913224,19.64683949583662
76,20161028_1,4,22,0,18.672950360520023,31.309482657905434,23.66439995645038
77,20161028_1,4,23,0,5.603331192933289,39.14550543886454,14.553852433298458
78,20161028_1,5,1,0,164.77682020886195,106.8750921537388,65.82242019249749
79,20161028_1,5,2,0,178.75085529717566,88.7114754158256,54.67199007944198
80,20161028_1,5,3,0,171.06945246540556,102.84233118640839,62.89790353526115
81,20161028_1,5,4,0,143.13220854685554,83.80959752631205,57.75829313457045
82,20161028_1,5,5,0,141.26738894996603,79.93369336329148,55.95979516075475
83,20161028_1,5,6,0,86.61550806011218,125.82984820217507,75.45512417761844
84,20161028_1,5,7,0,85.26585464698141,77.71264459415602,51.07275019931266
85,20161028_1,5,8,0,131.41267342486333,122.85163524989372,74.51757242051477
86,20161028_1,5,9,0,90.29692117249303,75.62548036809471,55.47984110979538
87,20161028_1,5,10,0,91.3417929152585,89.76602343087478,62.225560421574706
88,20161028_1,5,11,0,41.24108230888677,115.17566130882416,70.86071366816508
89,20161028_1,5,12,0,44.31136349991204,110.73602829500189,68.36813958438567
90,20161028_1,5,13,0,51.49371260926992,98.80957021907793,60.95655611838523
91,20161028_1,5,14,0,43.65478193250312,117.78976305319826,73.66293447703885
92,20161028_1,5,15,0,108.52468418643792,87.14359614926235,55.96733276444754
93,20161028_1,5,16,0,56.952034877547206,81.41672393110923,53.34802606307876
94,20161028_1,5,17,0,153.71935590288422,96.10680929466275,60.047569910780425
95,20161028_1,6,1,0,43.06545296005477,130.07744098890336,70.2880818775186
96,20161028_1,6,2,0,81.0343192528934,146.66991491189538,81.23351210998356
97,20161028_1,6,3,0,47.673761775287716,136.23031368319644,83.50251037783414
98,20161028_1,6,4,0,58.98034994996216,99.63528667454419,63.09642142274997
99,20161028_1,6,5,0,38.71629874945384,99.4912546653036,61.420859244483204
100,20161028_1,6,6,0,55.842716615210804,135.32610603342386,73.22800512426926
101,20161028_1,6,7,0,28.995229494812072,131.92210068799977,84.13557256766921
102,20161028_1,6,8,0,49.359344940342666,139.70170183086796,82.75442943014998
103,20161028_1,6,9,0,24.100574464816198,104.75488773158179,66.43229716966263
104,20161028_1,6,10,0,21.311251858775233,110.92903680366848,66.84299630813572
105,20161028_1,6,11,0,49.681050236098294,175.0564585198751,57.69108879931883
106,20161028_1,6,12,0,89.62562243025715,104.07491968836645,62.70623018467103
107,20161028_1,6,13,0,52.892227038469,138.81246220285306,74.2126622589271
108,20161028_1,7,1,0,73.44227491907682,84.60590099663251,34.38177921711299
109,20161028_1,7,2,0,126.3271241880647,87.05162836387882,39.37252507037874
110,20161028_1,7,3,0,23.606482651498794,112.63445282285478,56.375213702307796
111,20161028_1,7,4,0,64.5323018234591,108.09354863837638,52.367707060806296
112,20161028_1,7,5,0,154.73166869528632,89.49281086438836,36.694332506965026
113,20161028_1,7,6,0,119.38719280292085,75.35336221940545,32.83239925707208
114,20161028_1,7,7,0,135.23188787894125,79.86537916925985,31.43236036624507
115,20161028_1,7,8,0,140.9415019739227,93.63029345131469,44.03643356882601
116,20161028_1,7,9,0,34.11600832609062,94.8878639492921,39.087734629343686
117,20161028_1,7,10,0,84.2532764506505,79.80796325498528,34.39586578571634
118,20161028_1,7,11,0,91.30258577749939,67.87700592123029,26.74806764650259
119,20161028_1,7,12,0,169.91673118332906,89.98708047757572,41.75577522999865
120,20161028_1,7,13,0,110.9115626827735,70.58395315740887,25.40744193397667
121,20161028_1,7,14,0,104.15396317552036,83.17572420085816,36.63237728517704
122,20161028_1,7,15,0,105.7410783415216,70.81245803492712,29.355190191803178
123,20161028_1,7,16,0,105.55081121975044,75.78985736334488,29.25766507942167
124,20161028_1,7,17,0,11.78114037791598,102.52667072740519,49.15007960799188
125,20161028_1,8,1,0,13.728657267206087,147.0463585146418,87.36747049544634
126,20161028_1,8,2,0,66.13894848252387,153.06267024223195,87.62338398631006
