,lChirpCorr_distance,lChirpCorr_ExpDate,lChirp_corr,lChirpCorr_Angle,type
285,16.977816,20161215,0.2622504,74.46255,0.0
286,13.910963,20161215,0.3432978,78.11523,0.0
287,22.498781,20161215,0.2184517,142.99754,0.0
288,9.989162,20161215,0.343584,0.0,0.0
289,230.34389,20161215,0.24313568,18.631718,0.0
290,30.207022,20161215,0.25805965,147.43144,0.0
291,28.286509,20161215,0.14349225,73.94894,0.0
292,230.4484,20161215,0.31732932,44.48459,0.0
293,204.40552,20161215,0.2938782,49.25751,0.0
294,224.49197,20161215,0.33741862,45.61118,0.0
295,210.98418,20161215,0.35897735,49.330784,0.0
296,216.78374,20161215,0.27317038,47.502144,0.0
297,221.67062,20161215,0.22656524,46.49775,0.0
298,244.97845,20161215,0.37675261,43.361805,0.0
299,234.36705,20161215,0.24236833,43.60346,0.0
300,254.76802,20161215,0.26339608,41.396355,0.0
301,207.34097,20161215,0.18416981,49.49426,0.0
302,242.043,20161215,0.2656675,43.58019,0.0
303,292.50137,20161215,0.2745011,104.05644,0.0
304,269.03436,20161215,0.15359439,102.39296,0.0
305,287.52817,20161215,0.18399228,103.587875,0.0
306,277.6681,20161215,0.19302875,103.6454,0.0
307,281.7436,20161215,0.22912982,103.514435,0.0
308,289.7986,20161215,0.14016438,103.50285,0.0
309,165.20847,20161215,0.24974357,104.58753,0.0
310,158.03615,20161215,0.24198347,108.24817,0.0
311,193.24318,20161215,0.18696906,70.86657,0.0
312,155.49023,20161215,0.1847709,109.18268,0.0
313,175.8776,20161215,0.14525919,95.34658,0.0
314,170.91623,20161215,0.20453018,76.42171,0.0
315,151.74341,20161215,0.1312611,110.663536,0.0
316,178.58035,20161215,0.14843364,96.18998,0.0
317,116.6073,20161215,0.25894442,112.924805,0.0
318,111.76317,20161215,0.26068208,84.46064,0.0
319,50.63577,20161215,0.2225984,55.691956,0.0
320,44.418884,20161215,0.20075613,0.0,0.0
321,26.28918,20161215,0.20956846,117.51603,0.0
322,303.81607,20161215,0.15281862,72.206375,0.0
323,308.74652,20161215,0.10914311,71.48648,0.0
324,313.14337,20161215,0.08735167,70.62016,0.0
325,336.3058,20161215,0.15389933,65.90743,0.0
326,329.11987,20161215,0.057648342,67.485565,0.0
327,295.3565,20161215,0.10982617,72.165825,0.0
328,300.8806,20161215,0.16659707,71.66392,0.0
329,3.0668535,20161215,0.22135238,11.24249,0.0
330,39.476597,20161215,0.13660781,38.665882,0.0
331,26.966978,20161215,0.29106563,56.928116,0.0
332,243.58986,20161215,0.20090783,10.083101,0.0
333,47.184837,20161215,0.21302758,35.44311,0.0
334,11.308693,20161215,0.14090884,26.790146,0.0
335,243.69435,20161215,0.21356301,54.14345,0.0
336,217.65149,20161215,0.18729843,58.94368,0.0
337,237.73795,20161215,0.16738051,55.280556,0.0
338,224.23015,20161215,0.24731182,59.025806,0.0
339,230.02971,20161215,0.20028979,57.171204,0.0
340,234.91658,20161215,0.15547314,56.17381,0.0
341,258.22443,20161215,0.21405293,52.986073,0.0
342,247.613,20161215,0.18402052,53.269535,0.0
343,268.01398,20161215,0.21282949,51.016525,0.0
344,220.58693,20161215,0.12759316,59.178852,0.0
345,255.28897,20161215,0.18708412,53.20852,0.0
346,305.74734,20161215,0.20120913,112.58284,0.0
347,282.28033,20161215,0.068109535,110.891045,0.0
348,300.77414,20161215,0.15771005,112.0862,0.0
349,290.91403,20161215,0.10042654,112.14582,0.0
350,294.98956,20161215,0.14720175,111.99245,0.0
351,303.0446,20161215,0.12016153,112.01334,0.0
352,178.45442,20161215,0.20450315,112.413925,0.0
353,171.2821,20161215,0.16357923,115.88283,0.0
354,206.48915,20161215,0.08476169,79.6324,0.0
355,168.7362,20161215,0.15677936,116.675705,0.0
356,189.12357,20161215,0.12276358,103.56129,0.0
357,184.16219,20161215,0.19484282,85.056595,0.0
358,164.98936,20161215,0.10740115,118.03838,0.0
359,191.82631,20161215,0.14433344,104.371346,0.0
360,129.85326,20161215,0.16197124,117.32277,0.0
361,125.00913,20161215,0.19814783,90.701805,0.0
362,63.88173,20161215,0.13503303,64.06163,0.0
363,57.66485,20161215,0.17828622,0.0,0.0
364,39.535145,20161215,0.14762059,155.49948,0.0
365,317.06204,20161215,0.07226664,81.02802,0.0
366,321.9925,20161215,0.045624733,80.30785,0.0
367,326.38934,20161215,0.008901897,79.44068,0.0
368,349.55176,20161215,0.10846453,74.72256,0.0
369,342.3658,20161215,0.06144618,76.30328,0.0
370,308.60248,20161215,0.0015856834,80.98736,0.0
371,314.1266,20161215,0.05695546,80.48555,0.0
372,36.409744,20161215,0.19895096,33.62179,0.0
373,23.900126,20161215,0.30351537,54.03107,0.0
374,240.523,20161215,0.22179931,10.301831,0.0
375,44.117985,20161215,0.24110773,31.273926,0.0
376,14.375546,20161215,0.13860357,29.376291,0.0
377,240.6275,20161215,0.2902052,52.562016,0.0
378,214.58463,20161215,0.1728258,57.3942,0.0
379,234.67108,20161215,0.27372056,53.711967,0.0
380,221.16328,20161215,0.27674443,57.49103,0.0
381,226.96284,20161215,0.22963288,55.59841,0.0
382,231.84973,20161215,0.22404398,54.613537,0.0
383,255.15756,20161215,0.2607272,51.36181,0.0
384,244.54616,20161215,0.13505162,51.70031,0.0
385,264.9471,20161215,0.21358745,49.391884,0.0
386,217.52008,20161215,0.14763083,57.626385,0.0
387,252.2221,20161215,0.17830881,51.588764,0.0
388,302.68048,20161215,0.25903696,111.84558,0.0
389,279.21347,20161215,0.13599981,110.17647,0.0
390,297.70728,20161215,0.16939439,111.37162,0.0
391,287.8472,20161215,0.16266565,111.42959,0.0
392,291.9227,20161215,0.21964881,111.29377,0.0
393,299.97772,20161215,0.09862971,111.28901,0.0
394,175.38757,20161215,0.31748012,112.103905,0.0
395,168.21526,20161215,0.21842712,115.66605,0.0
396,203.42229,20161215,0.09543923,78.6359,0.0
397,165.66934,20161215,0.18515912,116.52268,0.0
398,186.0567,20161215,0.170045,103.0377,0.0
399,181.09534,20161215,0.240527,84.22063,0.0
400,161.92252,20161215,0.14001447,117.93718,0.0
401,188.75946,20161215,0.16728063,103.86781,0.0
402,126.78641,20161215,0.20481823,118.14385,0.0
403,121.942276,20161215,0.22911516,90.976494,0.0
404,60.814877,20161215,0.17575933,64.222275,0.0
405,54.597992,20161215,0.19126756,0.0,0.0
406,36.46829,20161215,0.19623151,159.62021,0.0
407,313.99518,20161215,0.13603589,79.851616,0.0
408,318.92563,20161215,0.10610921,79.116905,0.0
409,323.32248,20161215,0.12959224,78.23767,0.0
410,346.4849,20161215,0.15283735,73.48765,0.0
411,339.29898,20161215,0.0549465,75.08061,0.0
412,305.5356,20161215,0.04510629,79.8169,0.0
413,311.05972,20161215,0.12733278,79.310875,0.0
414,12.50962,20161215,0.24381731,0.0,0.0
415,252.84267,20161215,0.115842976,10.981857,0.0
416,7.7082405,20161215,0.17000932,2.700195,0.0
417,50.78529,20161215,0.11700943,25.705038,0.0
418,252.94717,20161215,0.1776278,44.332813,0.0
419,226.9043,20161215,0.17524089,49.19263,0.0
420,246.99077,20161215,0.21435118,45.497704,0.0
421,233.48296,20161215,0.20585205,49.31305,0.0
422,239.28252,20161215,0.15297475,47.367764,0.0
423,244.1694,20161215,0.10369812,46.4082,0.0
424,267.47723,20161215,0.1739027,43.0699,0.0
425,256.8658,20161215,0.09360062,43.4959,0.0
426,277.26678,20161215,0.15981515,41.10984,0.0
427,229.83975,20161215,0.1310899,49.418854,0.0
428,264.54178,20161215,0.078700654,43.302864,0.0
429,315.00015,20161215,0.16444582,110.28289,0.0
430,291.53314,20161215,0.071340874,108.68049,0.0
431,310.02695,20161215,0.14709412,109.86925,0.0
432,300.16687,20161215,0.09207297,109.92268,0.0
433,304.24237,20161215,0.11410057,109.8323,0.0
434,312.2974,20161215,0.07190568,109.76222,0.0
435,187.70724,20161215,0.10672168,111.621994,0.0
436,180.53493,20161215,0.099525765,115.39691,0.0
437,215.74196,20161215,0.038021635,76.55386,0.0
438,177.98903,20161215,0.111423455,116.40828,0.0
439,198.37637,20161215,0.058162197,102.06573,0.0
440,193.41501,20161215,0.08616908,82.53578,0.0
441,174.24219,20161215,0.054307137,117.943596,0.0
442,201.07913,20161215,0.10233612,102.94249,0.0
443,139.10608,20161215,0.11042868,120.45187,0.0
444,134.26195,20161215,0.11051033,92.07259,0.0
445,73.13455,20161215,0.089987844,59.922478,0.0
446,66.91766,20161215,0.10434185,0.0,0.0
447,48.787964,20161215,0.10971241,165.81071,0.0
448,326.31485,20161215,0.067943424,77.283875,0.0
449,331.2453,20161215,0.041217525,76.51287,0.0
450,335.64215,20161215,0.029989537,75.60448,0.0
451,358.80457,20161215,0.024450293,70.78639,0.0
452,351.61865,20161215,0.027485874,72.406395,0.0
453,317.8553,20161215,0.0050489292,77.265305,0.0
454,323.3794,20161215,0.06904059,76.74992,0.0
455,240.33305,20161215,0.2135915,16.730413,0.0
456,20.21786,20161215,0.2953465,0.0,0.0
457,38.275673,20161215,0.13767408,46.545364,0.0
458,240.43755,20161215,0.3347108,40.442715,0.0
459,214.39468,20161215,0.26398322,45.271065,0.0
460,234.48114,20161215,0.32809758,41.590748,0.0
461,220.97334,20161215,0.36559936,45.366695,0.0
462,226.7729,20161215,0.3059831,43.478138,0.0
463,231.65979,20161215,0.23071286,42.491306,0.0
464,254.96762,20161215,0.36548066,39.252712,0.0
465,244.35622,20161215,0.18622243,39.57887,0.0
466,264.75717,20161215,0.29012403,37.282368,0.0
467,217.33014,20161215,0.23793668,45.503593,0.0
468,252.03217,20161215,0.24875772,39.478367,0.0
469,302.49054,20161215,0.2669914,104.99863,0.0
470,279.02353,20161215,0.2048387,103.3749,0.0
471,297.51733,20161215,0.23812392,104.566475,0.0
472,287.65726,20161215,0.20515108,104.62129,0.0
473,291.73276,20161215,0.209346,104.51769,0.0
474,299.78778,20161215,0.17981966,104.466606,0.0
475,175.19762,20161215,0.2553286,106.14274,0.0
476,168.02531,20161215,0.19620967,109.91022,0.0
477,203.23235,20161215,0.09226666,71.43871,0.0
478,165.4794,20161215,0.18816887,110.92155,0.0
479,185.86676,20161215,0.12476047,96.6369,0.0
480,180.9054,20161215,0.19434676,77.26989,0.0
481,161.73257,20161215,0.15873578,112.460045,0.0
482,188.56952,20161215,0.14006549,97.50674,0.0
483,126.59646,20161215,0.23194484,115.662575,0.0
484,121.75233,20161215,0.26590458,86.801315,0.0
485,60.62493,20161215,0.2282342,54.699646,0.0
486,54.408047,20161215,0.21861078,0.0,0.0
487,36.278343,20161215,0.23939067,146.34872,0.0
488,313.80524,20161215,0.14262992,72.42629,0.0
489,318.7357,20161215,0.09587742,71.67728,0.0
490,323.13254,20161215,0.11050403,70.78673,0.0
491,346.29495,20161215,0.11829703,66.00994,0.0
492,339.10904,20161215,0.054651406,67.613106,0.0
493,305.34567,20161215,0.028562376,72.39786,0.0
494,310.86978,20161215,0.15359052,71.887825,0.0
495,260.5509,20161215,0.1567759,9.166927,0.0
496,254.89854,20161215,0.10585778,4.5917306,0.0
497,371.9545,20161215,0.18421862,38.714394,0.0
498,345.91165,20161215,0.17179677,42.581684,0.0
499,365.9981,20161215,0.17243777,39.637238,0.0
500,352.4903,20161215,0.20334911,42.63748,0.0
501,358.28986,20161215,0.2061451,41.188313,0.0
502,363.17676,20161215,0.10225186,40.357944,0.0
503,386.4846,20161215,0.18829216,37.79777,0.0
504,375.87317,20161215,0.06973049,37.967983,0.0
505,396.27414,20161215,0.21609621,36.132442,0.0
506,348.8471,20161215,0.15406598,42.778866,0.0
507,383.54913,20161215,0.15517183,37.98126,0.0
508,362.05334,20161215,0.14057232,115.49234,0.0
509,338.58633,20161215,0.10014569,113.86853,0.0
510,357.08014,20161215,0.054095354,115.011246,0.0
511,347.22003,20161215,0.15297996,115.06122,0.0
512,351.29553,20161215,0.09194254,114.91449,0.0
513,359.3506,20161215,0.048668217,114.94607,0.0
514,234.76042,20161215,0.119021274,114.84408,0.0
515,227.5881,20161215,0.0611255,117.74448,0.0
516,262.79514,20161215,0.08560313,84.99576,0.0
517,225.0422,20161215,0.10046188,118.35063,0.0
518,245.42955,20161215,0.007282565,107.18438,0.0
519,240.46819,20161215,0.14367656,90.52681,0.0
520,221.29536,20161215,0.06530559,119.420296,0.0
521,248.13231,20161215,0.10221243,107.87287,0.0
522,186.15926,20161215,0.14413968,117.23981,0.0
523,181.31512,20161215,0.13506483,97.69448,0.0
524,192.14189,20161215,0.104558796,48.064953,0.0
525,185.925,20161215,0.15263258,48.35143,0.0
526,204.0547,20161215,0.09333106,34.94027,0.0
527,373.368,20161215,0.08604264,85.18105,0.0
528,378.2985,20161215,0.07277618,84.44201,0.0
529,382.69534,20161215,0.047481187,83.57361,0.0
530,405.85776,20161215,0.105990715,78.85768,0.0
531,398.6718,20161215,0.0063512963,80.447586,0.0
532,364.90848,20161215,0.04588051,85.21274,0.0
